Salt,Plus Start,Abo,19,Highspeed 4G,1.5 GB,Unlimitiertes Surfen: 1.99/Tag,19.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,0.49/Anruf (max. 60 Min.),Unlimitiert ins Salt Netz + 30 Min. in der Schweiz,ab 0.80/Min.,ab 1.40/Min.,ab 2.20/Min.,ab 2.20/Min.,keine, 0.60/SMS,keine,1.50/MMS,keine,0,keine,24,inkl. SIM-Karte ,49,2,2,4,0,0,0
Salt,Plus Basic,Abo,39,Highspeed 4G,3 GB,Unlimitiertes Surfen: 1.99/Tag,19.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 0.80/Min.,ab 1.40/Min.,ab 2.20/Min.,ab 2.20/Min.,keine, 0.60/SMS,keine,1.50/MMS,keine,0,keine,24,inkl. SIM-Karte,49,2,4,4,0,0,0
Salt,Plus Swiss,Abo,59,Highspeed 4G,Unlimitiert,keine,19.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 0.80/Min. (sofern 60 Min. verbraucht),ab 1.40/Min. (sofern 60 Min. verbraucht),ab 2.20/Min. (sofern 60 Min. verbraucht),ab 2.20/Min.,60 min in die EU & USA, 0.60/SMS,keine,1.50/MMS,keine,0,keine,24,inkl. SIM-Karte,49,4,4,4,0,1,0
Salt,Plus Europe ,Abo,89,Highspeed 4G,Unlimitiert,keine,19.00/MB,4 GB in der EU & USA,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,ab 2.20/Min.,Unlimitiert EU & USA,keine in EU & USA,Unlimitiert in EU & USA,keine in EU & USA,Unlimitiert in EU & USA,0,keine,24,inkl. SIM-Karte,49,4,4,4,1,2,2
Salt,Plus Basic Young,Abo,25,Highspeed 4G,3 GB,Unlimitiertes Surfen: 1.99/Tag,19.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 0.80/Min.,ab 1.40/Min.,ab 2.20/Min.,ab 2.20/Min.,keine, 0.60/SMS,keine,1.50/MMS,keine,30,keine,24,inkl. SIM-Karte,49,2,4,4,0,0,0
Salt,Plus Swiss Young,Abo,49,Highspeed 4G,Unlimitiert,keine,19.00/MB,200 MB in der EU & USA,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 0.80/Min.,ab 1.40/Min.,ab 2.20/Min.,ab 2.20/Min.,keine, 0.60/SMS,keine,1.50/MMS,keine,30,keine,24,inkl. SIM-Karte,49,4,4,4,1,0,0
Salt,Smart Swiss ,Abo,59.95,Highspeed 4G,Unlimitiert,keine,19.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 0.80/Min.,ab 1.40/Min.,ab 2.20/Min.,ab 2.20/Min.,keine, 0.60/SMS,keine,1.50/MMS,keine,0,keine,24,inkl. SIM-Karte,49,4,4,4,0,0,0
Swisscom,inOne mobile XL,Abo,180,Highspeed 4G,Unlimitiert,keine,keine,365 Tage pro Jahr kostenlos in EU/Westeuropa  48 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,Unlimitiert in EU/Westeuropa ,keine in EU/Westeuropa ,Unlimitiert in EU/Westeuropa ,keine in EU/Westeuropa ,Unlimitiert in EU/Westeuropa ,0,Mit der Option Multi Device 3 Zusatzgeraete kostenlos nutzen.,12,inkl. SIM-Karte,40,4,4,4,2,2,2
Swisscom,inOne mobile L,Abo,120,Highspeed 4G,Unlimitiert,keine,keine,365 Tage pro Jahr kostenlos in EU/Westeuropa 42 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,300 Min./Mt. fuer Anrufe nach EU/Westeuropa USA Kanada.,keine in EU/Westeuropa ,Unlimitiert in EU/Westeuropa ,keine in EU/Westeuropa ,Unlimitiert in EU/Westeuropa ,0,Mit der Option Multi Device 2 Zusatzgeraete kostenlos nutzen.,12,inkl. SIM-Karte,40,4,4,4,2,2,2
Swisscom,inOne mobile M,Abo,90,Highspeed 4G,Unlimitiert,keine,keine,60 Tage pro Jahr kostenlos in EU/Westeuropa 6 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,100 Min./Mt. fuer Anrufe nach EU/Westeuropa USA Kanada.,keine in EU/Westeuropa fuer 60 Tage,Unlimitiert in EU/Westeuropa fuer 60 Tage,keine in EU/Westeuropa fuer 60 Tage,Unlimitiert in EU/Westeuropa fuer 60 Tage,0,Mit der Option Multi Device ab 3.00/ Mt. ein Zusatzgeraet nutzen.,12,inkl. SIM-Karte,40,4,4,4,1,1,1
Swisscom,inOne mobile S,Abo,70,30 Mbit/s schnell,Unlimitiert,keine,keine,45 Tage pro Jahr kostenlos in EU/Westeuropa telefonieren SMS senden und 3 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,60 Min./Mt. fuer Anrufe nach EU/Westeuropa USA Kanada.,keine in EU/Westeuropa fuer 45 Tage,Unlimitiert in EU/Westeuropa fuer 45 Tage,keine in EU/Westeuropa fuer 45 Tage,Unlimitiert in EU/Westeuropa fuer 45 Tage,0,Mit der Option Multi Device ab 3.00/ Mt. ein Zusatzgeraet nutzen.,12,inkl. SIM-Karte,40,4,4,4,1,1,1
Swisscom,inOne mobile XS,Abo,60,Mit maximaler Geschwindigkeit surfen,Unlimitiert,keine,keine,30 Tage pro Jahr kostenlos in EU/Westeuropa telefonieren SMS senden und 3 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,30 Min./Mt. fuer Anrufe nach EU/Westeuropa USA Kanada.,keine in EU/Westeuropa fuer 30 Tage,Unlimitiert in EU/Westeuropa fuer 30 Tage,keine in EU/Westeuropa fuer 30 Tage,Unlimitiert in EU/Westeuropa fuer 30 Tage,0,Mit der Option Multi Device ab 3.00/ Mt. ein Zusatzgeraet nutzen.,12,inkl. SIM-Karte,40,4,4,4,1,1,1
Swisscom,LIGHT,Abo,29,Bis zu 30 Mbit/s Download Geschwindigkeit,1.5 GB. danach Drosselung ,keine,4.50/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,ab 0.60/Min.,ab 0.60/Min.,ab 0.60/Min.,keine,0.27/SMS,Unlimitiert,ab 0.40/MMS,keine,0,keine,12,inkl. SIM-Karte,40,2,4,4,0,0,0
Swisscom,inOne XTRA mobile L,Abo,100,Mit maximaler Geschwindigkeit surfen.,Unlimitiert,keine,keine,365 Tage pro Jahr kostenlos in EU/Westeuropa 42 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,300 Min./Mt. fuer Anrufe nach EU/Westeuropa USA Kanada.,keine in EU/Westeuropa ,Unlimitiert in EU/Westeuropa ,keine in EU/Westeuropa ,Unlimitiert in EU/Westeuropa ,26,Mit der Option Multi Device 2 Zusatzgeraete kostenlos nutzen.,12,inkl. SIM-Karte,40,4,4,4,2,2,2
Swisscom,inOne XTRA mobile M,Abo,70,Mit maximaler Geschwindigkeit surfen.,Unlimitiert,keine,keine,60 Tage pro Jahr kostenlos in EU/Westeuropa 6 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,100 Min./Mt. fuer Anrufe nach EU/Westeuropa USA Kanada.,keine in EU/Westeuropa fuer 60 Tage,Unlimitiert in EU/Westeuropa fuer 60 Tage,keine in EU/Westeuropa fuer 60 Tage,Unlimitiert in EU/Westeuropa fuer 60 Tage,26,Mit der Option Multi Device ab 3.00/ Mt. ein Zusatzgeraet nutzen.,12,inkl. SIM-Karte,40,4,4,4,1,1,1
Swisscom,inOne XTRA mobile S,Abo,60,Bis zu 30 Mbit/s Download Geschwindigkeit,Unlimitiert,keine,keine,45 Tage pro Jahr kostenlos in EU/Westeuropa telefonieren SMS senden und 3 GB surfen.,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,keine,keine,keine,60 Min./Mt. fuer Anrufe nach EU/Westeuropa USA Kanada.,keine in EU/Westeuropa fuer 45 Tage,Unlimitiert in EU/Westeuropa fuer 45 Tage,keine in EU/Westeuropa fuer 45 Tage,Unlimitiert in EU/Westeuropa fuer 45 Tage,26,Mit der Option Multi Device ab 3.00/ Mt. ein Zusatzgeraet nutzen.,12,inkl. SIM-Karte,40,4,4,4,1,1,1
Swisscom,inOne XTRA mobile XS,Abo,25,Bis zu 30 Mbit/s Download Geschwindigkeit,1.5 GB. danach Drosselung ,keine,4.50/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,keine,ab 0.60/Min.,ab 0.60/Min.,ab 0.60/Min.,keine,0.27/SMS,Unlimitiert,ab 0.40/MMS,keine,26,keine,12,inkl. SIM-Karte,40,2,4,4,0,0,0
Swisscom,inOne mobile data XL,Abo,49,Bis zu 30 Mbit/s Download Geschwindigkeit,30 GB. danach Drosselung,keine,4.50/MB,keine,keine,keine,keine,keine,keine,keine,keine,keine,keine,keine,keine,keine,keine,keine,keine,0,keine,12,inkl. SIM-Karte,40,3,0,0,0,0,0
Sunrise,swiss start,Abo,25,High Speed 4G+,500MB in CH. WhatsApp unlimitiert in CH,Unlimitiertes Surfen: 1.00/Tag,ab 1.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,unlimitiert ins Sunrise Mobilnetz und auf 3 Wunschnummern sonst 50 Rp/min.,ab 1.00/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,keine,0.60 /SMS,keine,1.60/MMS,keine,0,10% Kombirabatt,24,inkl. SIM-Karte,49,1,2,4,0,0,0
Sunrise,swiss calls,Abo,45,High Speed 4G+,2GB in CH. WhatsApp Messaging: unlimitiert in CH,Unlimitiertes Surfen: 1.00/Tag,ab 1.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 1.00/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,keine,0.60 /SMS,keine,1.60/MMS,keine,0,10% Kombirabatt,24,inkl. SIM-Karte,49,2,4,4,0,0,0
Sunrise,swiss unlimited,Abo,65,High Speed 4G+,unlimitiert,keine,ab 1.00/MB,keine,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 1.00/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,keine,0.60 /SMS,keine,1.60/MMS,keine,0,10% Kombirabatt,24,inkl. SIM-Karte,49,4,4,4,0,0,0
Sunrise,swiss neighbors,Abo,95,High Speed 4G+,Unlimitiert,keine,ab 1.00/MB,4GB in allen Nachbarlaendern,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 1.00/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,unlimitiert in und nach CH und die Nachbarlaender,keine in Nachbarlaendern,unlimitiert in CH und den Nachbarlaendern,1.60/MMS,keine,0,10% Kombirabatt,24,inkl. SIM-Karte,49,4,4,4,1,1,1
Sunrise,europe & US,Abo,130,High Speed 4G+,Unlimitiert,keine,ab 1.00/MB,4GB in EU & US,keine,Unlimitiert,keine,Unlimiert,keine,Unlimitiert,ab 1.00/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,ab 1.75/ Min.,unlimitiert in und nach CH und EU & US,keine in EU & US,unlimitiert in CH in EU & US,1.60/MMS,keine,0,10% Kombirabatt,24,inkl. SIM-Karte,49,4,4,4,1,2,2
